ID,Status,Transaction ID,Shipping,Total,CEP
5009,Completed,39219,0.0,410.4,71060-279
5010,Completed,39232,0.0,561.98,22410-003
5010,Completed,42481,0.0,705.99,22410-003
5010,Failed,48379,0.0,1331.8,22410-003
5010,Failed,48385,0.0,1330.0,22410-003
5010,Cancelled,50025,0.0,1230.0,22410-003
5011,Completed,39245,0.0,852.29,13272-554
5012,Cancelled,39273,0.0,518.4,74815-700
5013,Completed,39277,0.0,822.96,30310-320
5013,Completed,50938,0.0,640.44,30310-320
5013,Completed,65922,0.0,703.62,30310-320
5014,Completed,39291,15.0,927.5,05716-090
5015,Cancelled,39297,45.77,434.57,71915-750
5015,Cancelled,39299,0.0,777.6,71915-750
5015,Completed,41590,0.0,507.58,71915-750
5015,Completed,43952,0.0,941.4,71915-750
5015,Completed,44143,0.0,665.01,71915-750
5015,Completed,44591,0.0,680.4,71915-750
5015,Completed,44892,0.0,778.86,71915-750
5015,Completed,45260,0.0,679.5,71915-750
5015,Completed,45724,0.0,609.66,71915-750
5015,Completed,46841,0.0,831.33,71915-750
5015,Completed,49261,0.0,964.89,71915-750
5015,Cancelled,52322,0.0,514.44,71915-750
5015,Completed,52497,0.0,514.44,71915-750
5015,Completed,52674,0.0,1422.9,71915-750
5015,Completed,54997,0.0,957.51,71915-750
5015,Completed,55835,0.0,750.33,71915-750
5015,Completed,58642,0.0,1135.8,71915-750
5015,Completed,59894,0.0,811.8,71915-750
5016,Completed,39303,0.0,158.4,74210-180
5017,Completed,39310,0.0,468.0,63500-050
5018,Completed,39322,0.0,417.6,88015-640
5019,Completed,39336,15.0,133.8,74884-595
5020,Completed,39349,0.0,475.98,89012-180
5020,Completed,40345,0.0,453.6,89012-180
5021,Completed,39350,0.0,1032.0,22471-080
5021,Completed,39351,0.0,706.8,22471-080
5021,Completed,39836,0.0,1668.0,22471-080
5021,Cancelled,41639,0.0,446.4,22471-080
5021,Completed,42410,0.0,1772.0,22471-080
5021,Completed,43385,0.0,1071.0,22471-080
5021,Completed,43780,0.0,444.6,22471-080
5021,Cancelled,43951,0.0,736.0,22471-080
5021,Completed,44452,0.0,592.0,22471-080
5021,Cancelled,45423,0.0,1771.2,22471-080
5021,Completed,45620,0.0,2264.0,22471-080
5021,Cancelled,45764,0.0,895.5,22471-080
5021,Cancelled,45765,0.0,895.5,22471-080
5021,Cancelled,45778,0.0,895.5,22471-080
5021,Completed,45858,0.0,895.5,22471-080
5021,Completed,51213,0.0,888.0,22471-080
5021,Completed,56515,0.0,592.0,22471-080
5022,Cancelled,39369,0.0,507.6,72520-275
5023,Completed,39385,83.61,279.61,65073-360
5024,Cancelled,39388,0.0,553.14,71680-150
5024,Cancelled,40670,0.0,1358.82,71680-150
5024,Cancelled,47867,0.0,1252.0,71680-150
5025,Refunded,39390,0.0,406.0,89050-190
5025,Completed,39492,0.0,-406.0,89050-190
5025,Completed,39494,0.0,696.0,89050-190
5026,Completed,39424,0.0,832.99,86047-250
5026,Cancelled,40604,0.0,437.4,86047-250
5026,Cancelled,43248,160.99,520.99,86047-250
5026,Completed,43348,0.0,633.6,86047-250
5026,Completed,44613,0.0,559.8,86047-250
5026,Completed,45432,0.0,626.4,86047-250
5026,Completed,58012,0.0,1312.2,86047-250
5027,Completed,39438,0.0,417.6,59064-430
5027,Completed,46474,0.0,704.0,59064-430
5027,Completed,51175,0.0,880.0,59064-430
5027,Cancelled,58791,0.0,784.0,59064-430
5027,Completed,59557,0.0,980.0,59064-430
5027,Completed,63331,0.0,588.0,59064-430
5027,Completed,63654,0.0,980.0,59064-430
5027,Completed,64766,0.0,836.0,59064-430
5027,Completed,65695,0.0,704.0,59064-430
5027,Completed,66086,0.0,992.0,59064-430
5028,Completed,39446,35.49,125.48,04080-000
5028,Cancelled,39450,35.63,132.83,04080-000
5028,Cancelled,41685,122.17,510.97,04080-000
5028,Cancelled,42499,35.63,132.83,04080-000
5028,Cancelled,44149,0.0,628.2,04080-000
5028,Completed,56653,0.0,927.0,04080-000
5028,Completed,57261,0.0,810.0,04080-000
5029,Completed,39454,0.0,422.99,72020-350
5030,Completed,39460,0.0,495.0,26135-170
5031,Completed,39467,0.0,450.8,65914-630
5031,Completed,52351,0.0,924.0,65914-630
5032,Cancelled,39470,86.73,138.93,85900-200
5032,Cancelled,41873,86.91,148.11,85900-200
5033,Completed,39475,0.0,474.0,60165-090
5034,Completed,39478,0.0,507.6,22410-003
5035,Completed,39482,0.0,427.68,22620-311
5036,Completed,39484,0.0,534.6,60115-170
5036,Completed,45172,0.0,532.8,60115-170
5036,Completed,48707,0.0,482.22,60115-170
5036,Cancelled,51700,0.0,673.2,60115-170
5036,Cancelled,51987,0.0,585.0,60115-170
5036,Completed,52781,0.0,622.2,60115-170
5036,Cancelled,52998,0.0,1404.2,60115-170
5036,Cancelled,55224,0.0,626.4,60115-170
5036,Completed,58990,0.0,806.4,60115-170
5036,Completed,66586,46.59,332.79,60115-170
5037,Cancelled,39526,0.0,486.0,22040-010
5037,Cancelled,40734,0.0,414.0,22040-010
5037,Cancelled,40754,0.0,414.0,22040-010
5037,Refunded,43353,0.0,470.0,22040-010
5037,Completed,43381,0.0,-470.0,22040-010
5037,Completed,43384,0.0,423.0,22040-010
5037,Completed,43805,0.0,441.0,22040-010
5037,Cancelled,44909,0.0,637.2,22040-010
5037,Completed,44989,0.0,849.6,22040-010
5037,Cancelled,57939,0.0,576.0,22040-010
5038,Completed,39536,0.0,608.4,05089-030
5039,Completed,39542,0.0,1879.2,11070-905
5039,Completed,44182,0.0,1879.2,11070-905
5039,Completed,45341,0.0,1879.2,11070-905
5039,Completed,48976,0.0,3434.4,11070-905
5040,Completed,39547,15.0,303.0,74115-040
5041,Completed,39564,244.85,1012.85,65077-310
5041,Completed,52131,0.0,2019.6,65077-310
5041,Completed,57041,0.0,2539.8,65077-310
5042,Completed,39583,0.0,1142.8,06543-640
5042,Completed,41666,0.0,848.0,06543-640
5042,Completed,44254,0.0,1135.8,06543-640
5042,Completed,44753,0.0,1494.0,06543-640
5042,Completed,56185,0.0,687.6,06543-640
5043,Completed,39585,173.95,397.25,22630-012
5044,Completed,39587,0.0,433.3,74120-010
5044,Completed,40224,0.0,420.0,74120-010
5044,Completed,52618,15.0,235.66,74120-010
5045,Cancelled,39606,0.0,518.4,74115-050
5046,Cancelled,39619,0.0,528.0,67130-600
5046,Cancelled,39765,0.0,528.0,67130-600
5047,Completed,39622,0.0,478.0,02127-000
5048,Completed,39625,50.41,151.21,71615-030
5049,Cancelled,39636,219.53,581.51,22640-105
5049,Completed,39694,0.0,677.4,22640-105
5049,Cancelled,43390,192.95,561.32,22640-105
5049,Completed,43677,0.0,416.1,22640-105
5049,Completed,45407,0.0,449.82,22640-105
5050,Cancelled,39641,0.0,881.96,57046-361
5051,Completed,39643,0.0,406.0,22631-280
5051,Completed,42359,38.65,286.65,22631-280
5051,Completed,44263,35.25,105.45,22631-280
5052,Completed,39650,15.0,155.4,70736-060
5053,Cancelled,39658,213.03,605.43,82220-170
5053,Cancelled,39723,87.53,479.93,82220-170
5054,Completed,39667,0.0,914.4,13480-090
5054,Completed,44446,0.0,577.8,13480-090
5054,Completed,47859,0.0,422.37,13480-090
5055,Cancelled,39672,57.05,235.25,01329-010
5055,Failed,39673,57.45,255.45,01329-010
5055,Completed,42180,57.05,235.25,01329-010
5055,Completed,44055,59.49,329.49,01329-010
5056,Completed,39676,0.0,700.0,22620-311
5056,Completed,41135,0.0,705.6,22620-311
5057,Cancelled,39688,90.87,249.63,01239-020
5058,Failed,39692,15.0,526.99,74310-210
5059,Completed,39703,0.0,1630.0,78043-512
5060,Completed,39707,0.0,486.86,60115-281
5061,Failed,39737,0.0,424.0,90440-191
5061,Cancelled,41208,236.73,598.53,90440-191
5061,Completed,44438,0.0,558.0,90440-191
5062,Completed,39740,0.0,819.0,87300-020
5063,Completed,39741,0.0,420.0,74255-120
5063,Completed,53973,0.0,467.28,74255-120
5063,Completed,55670,0.0,467.28,74255-120
5064,Completed,39745,0.0,564.0,18190-000
5064,Completed,40376,0.0,941.4,18190-000
5064,Completed,44861,0.0,432.0,18190-000
5065,Cancelled,39754,0.0,1110.6,88015-530
5065,Cancelled,41597,0.0,534.6,88015-530
5065,Cancelled,49086,0.0,1121.4,88015-530
5066,Completed,39767,0.0,421.8,88034-480
5067,Cancelled,39774,149.09,528.89,66055-260
5068,Cancelled,39785,0.0,403.2,04140-090
5068,Completed,39791,0.0,460.8,04140-090
5068,Completed,45434,0.0,698.4,04140-090
5069,Cancelled,39796,132.11,412.91,15085-480
5070,Completed,39808,0.0,574.2,89023-000
5071,Completed,39834,0.0,435.58,13271-090
5072,Completed,39843,89.65,377.65,65075-650
5073,Completed,39846,0.0,610.6,01455-000
5074,Completed,39862,0.0,595.8,74680-220
5074,Completed,41968,0.0,529.2,74680-220
5075,Completed,39887,0.0,744.8,22030-010
5076,Completed,39890,0.0,624.0,01250-040
5077,Cancelled,39896,0.0,426.6,94475-210
5078,Cancelled,39900,192.89,558.29,09530-250
5079,Completed,39907,0.0,1233.0,50020-455
5079,Completed,46051,0.0,626.4,50020-455
5080,Completed,39914,0.0,843.8,71515-235
5081,Completed,39945,0.0,538.2,19053-850
5081,Completed,45252,0.0,514.8,19053-850
5082,Cancelled,39953,132.25,485.05,83900-000
5082,Completed,44400,0.0,718.2,83900-000
5082,Completed,44995,0.0,529.2,83900-000
5082,Failed,64351,0.0,878.4,83900-000
5083,Completed,39970,0.0,2176.0,05083-140
5083,Completed,46798,0.0,1712.0,05083-140
5084,Completed,39991,0.0,576.0,24220-331
5085,Completed,39993,15.0,228.9,74085-450
5085,Completed,43923,15.0,203.0,74085-450
5085,Completed,44996,15.0,351.6,74085-450
5086,Completed,39997,0.0,573.84,37468-000
5087,Completed,40011,15.0,326.4,70687-150
5088,Completed,40020,0.0,718.2,80540-220
5088,Completed,43010,0.0,421.2,80540-220
5088,Completed,43820,0.0,698.4,80540-220
5089,Cancelled,40028,0.0,406.79,60833-482
5090,Completed,40030,0.0,461.0,24360-005
5090,Completed,44371,0.0,484.0,24360-005
5090,Completed,45732,0.0,441.0,24360-005
5091,Completed,40045,0.0,432.0,04623-070
5092,Completed,40072,0.0,453.6,01232-010
5093,Cancelled,40076,0.0,532.44,51020-000
5094,Completed,40085,0.0,3398.4,04088-002
5095,Completed,40092,0.0,793.8,35460-000
5095,Completed,42871,0.0,687.96,35460-000
5095,Cancelled,42957,0.0,582.12,35460-000
5095,Completed,42958,0.0,635.04,35460-000
5095,Completed,43056,0.0,635.04,35460-000
5095,Cancelled,43057,0.0,635.04,35460-000
5095,Completed,49491,0.0,1293.84,35460-000
5096,Completed,40094,0.0,569.7,22461-010
5097,Failed,40102,0.0,3060.0,22421-000
5097,Failed,41365,0.0,2938.0,22421-000
5098,Cancelled,40107,0.0,711.9,59015-010
5098,Failed,40121,0.0,861.99,59015-010
5099,Completed,40111,0.0,539.95,60125-150
5099,Cancelled,41511,0.0,1079.89,60125-150
5099,Completed,41512,0.0,1079.89,60125-150
5099,Cancelled,52720,0.0,591.6,60125-150
5099,Cancelled,52727,0.0,696.0,60125-150
5099,Completed,52983,0.0,591.6,60125-150
5100,Completed,40112,0.0,542.98,74835-180
5101,Completed,40130,0.0,606.6,04564-000
5102,Cancelled,40134,34.75,87.67,01226-011
5103,Completed,40147,0.0,444.6,22450-130
5104,Completed,40149,0.0,410.4,58039-100
5105,Completed,40159,35.47,124.57,09090-150
5106,Completed,40160,0.0,432.0,12400-370
5107,Completed,40167,0.0,499.0,88015-130
5108,Failed,40183,0.0,464.0,18185-000
5108,Completed,40346,0.0,417.6,18185-000
5108,Completed,42844,0.0,417.6,18185-000
5109,Refunded,40184,84.75,222.75,60170-060
5109,Completed,40238,0.0,-222.75,60170-060
5110,Completed,40187,0.0,512.0,74115-100
5110,Completed,42449,0.0,392.0,74115-100
5111,Completed,40192,0.0,421.2,89900-000
5111,Completed,65201,0.0,733.51,89900-000
5111,Completed,67294,0.0,1305.0,89900-000
5112,Completed,40193,15.0,287.0,74170-110
5112,Completed,43070,15.0,459.0,74170-110
5112,Completed,44895,15.0,251.0,74170-110
5113,Completed,40196,0.0,1062.0,01417-020
5113,Completed,45166,0.0,1315.8,01417-020
5113,Completed,50747,0.0,3936.6,01417-020
5114,Completed,40200,0.0,1022.31,06454-080
5115,Completed,40202,41.19,86.1,28950-000
5116,Cancelled,40205,0.0,477.0,89120-000
5116,Completed,41055,0.0,446.4,89120-000
5116,Completed,42329,0.0,588.6,89120-000
5117,Completed,40209,0.0,450.0,22793-075
5118,Completed,40212,0.0,1035.0,04563-011
5119,Completed,40219,0.0,451.8,09541-250
