Status,Transaction ID,ID,Shipping,Total
Completed,2204,363,0.0,930.0
Completed,2205,364,0.0,566.0
Completed,2208,365,0.0,437.0
Completed,2209,266,0.0,837.0
Completed,2210,366,0.0,902.0
Completed,2212,367,0.0,558.0
Completed,2213,368,0.0,407.6
Completed,2215,369,0.0,500.0
Refunded,2216,370,0.0,1608.0
Completed,2224,370,0.0,-1608.0
Completed,2217,371,0.0,410.0
Completed,2219,372,0.0,1068.0
Completed,2220,373,57.06,253.06
Completed,2221,11,0.0,782.8
Completed,2222,374,0.0,423.0
Completed,2223,375,0.0,581.5
Completed,2225,376,28.09,126.09
Completed,2226,377,31.39,149.39
Completed,2227,131,0.0,428.0
Completed,2231,378,0.0,430.0
Completed,2233,379,0.0,459.6
Completed,2234,380,0.0,2868.0
Completed,2235,381,0.0,443.8
Completed,2237,382,0.0,474.0
Completed,2239,383,0.0,472.0
Completed,2240,384,54.06,250.06
Completed,2241,141,0.0,456.0
Completed,2243,385,0.0,1434.0
Completed,2244,386,0.0,708.0
Completed,2247,387,87.84,655.84
Completed,2249,388,0.0,436.0
Completed,2251,389,0.0,1056.0
Completed,2253,390,0.0,432.0
Completed,2269,391,0.0,490.0
Completed,2271,392,0.0,540.0
Completed,2277,47,0.0,1245.0
Completed,2281,273,0.0,1473.0
Completed,2291,393,0.0,1434.0
Completed,2310,394,0.0,780.0
Refunded,2326,395,0.0,575.3
Completed,2960,395,0.0,-575.3
Completed,2328,396,0.0,597.0
Completed,2335,397,0.0,446.0
Completed,2340,398,0.0,630.0
Completed,2344,399,0.0,563.0
Completed,2347,400,0.0,403.0
Refunded,2353,401,0.0,448.0
Completed,4654,401,0.0,-448.0
Completed,2362,402,0.0,508.0
Completed,2364,403,0.0,555.0
Completed,2367,404,0.0,406.0
Completed,2372,405,0.0,516.8
Completed,2378,406,0.0,408.0
Completed,2384,407,0.0,1026.0
Completed,2396,408,0.0,2868.0
Completed,2400,409,0.0,605.9
Completed,2407,410,0.0,454.0
Completed,2412,411,0.0,524.0
Completed,2424,412,0.0,1176.0
Completed,2427,413,0.0,980.0
Completed,2431,414,0.0,996.0
Completed,2434,415,0.0,1434.0
Completed,2444,386,0.0,1176.0
Completed,2459,159,0.0,896.4
Completed,2463,416,0.0,552.0
Completed,2466,417,0.0,432.0
Completed,2470,418,0.0,429.8
Completed,2472,419,0.0,2976.0
Completed,2480,420,0.0,756.0
Completed,2482,421,0.0,1158.0
