ID;CEP
1550;30882-710
1551;68552-680
1552;09090-760
1553;24210-430
1554;04112-070
1555;13215-602
1556;19815-065
1557;12460-000
1558;49032-016
1559;65900-040
1560;18046-687
1561;59064-585
1562;01530-030
1563;99020-170
1564;78890-000
1565;41483-100
1566;17519-510
1567;17502-000
1568;77006-050
1569;80540-180
1570;80540-065
1571;13073-320
1572;59064-585
1573;04624-070
1574;06730-000
1575;74394-440
1576;14027-250
1577;17210-400
1578;70742-060
1579;20071-002
1580;57048-230
1581;04543-011
1582;76803-480
1583;26210-150
1584;80510-330
1585;70673-427
1586;05466-000
1587;50750-903
1588;29102-010
1589;38740-182
1590;60192-010
1591;05405-050
1592;20211-000
1593;04609-000
1594;69005-080
1595;05003-050
1596;37900-032
1597;06775-001
1598;13416-330
1599;75834-017
1600;74125-100
1601;89226-578
1602;31160-440
1603;70353-010
1604;14745-000
1605;06519-465
1606;03312-052
1607;24220-211
1608;11432-480
1609;11432-480
1610;36025-290
1611;93346-060
1612;49020-010
1613;37410-097
1614;04555-000
1615;74630-230
1616;52020-140
1617;04006-052
1618;15015-600
1619;30180-106
1620;77006-050
1621;22450-140
1622;04524-003
1623;88350-480
1624;05745-220
1625;04004-002
1626;05727-240
1627;20520-201
1628;41810-425
1629;04542-001
1630;01454-904
1631;22795-395
1632;29055-180
1633;51021-000
1634;12233-002
1635;15910-000
1636;04710-041
1637;13940-000
1638;18118-018
1639;39445-135
1640;30190-131
1641;30190-131
1642;90460-130
1643;60851-000
1644;02401-300
1645;14021-686
1646;28300-000
1647;05415-010
1648;04522-031
1649;04608-001
1650;20011-020
1651;01447-010
1652;05315-030
1653;14805-287
1654;35920-000
1655;07123-130
1656;04663-120
1657;64048-360
1658;89500-133
1659;04567-003
1660;04660-000
1661;74120-130
1662;34000-000
1663;08790-420
1664;22793-314
1665;90470-230
1666;75351-016
1667;28300-000
1668;24220-390
1669;36420-000
1670;41760-150
1671;05455-040
1672;29050-585
1673;03312-052
1674;17600-090
1675;01232-000
1676;85902-030
1677;05016-010
1678;74215-150
1679;22020-050
1680;22441-140
1681;18040-650
1682;89201-260
1683;90540-001
1684;06474-050
1685;04521-005
1686;22441-040
1687;49020-010
1688;29375-000
1689;20521-160
1690;22051-011
1691;38705-110
1692;24360-005
1693;87060-307
1694;04028-002
1695;04565-001
1696;74210-050
1697;24220-121
1698;30170-132
1699;16020-180
1700;01408-001
1701;01217-020
1702;13214-660
1703;88331-115
1704;22775-040
1705;05727-250
1706;30441-185
1707;05417-002
1708;45600-675
1709;14403-111
1710;14110-000
1711;05507-060
1712;36036-350
1713;05372-100
1714;04552-050
1715;76920-000
1716;01224-002
1717;24370-110
1718;01519-010
1719;57300-030
1720;06465-136
1721;70680-150
1722;70687-245
1723;04514-100
1724;24350-310
1725;22421-029
1726;02072-000
1727;05015-040
1728;88802-280
1729;22471-004
1730;05615-190
1731;75113-470
1732;70660-075
1733;20211-340
1734;65075-210
1735;36305-144
1736;04217-010
1737;04542-030
1738;04618-034
1739;13087-070
1740;24230-410
1741;66055-050
1742;05303-000
1743;30160-037
1744;38702-018
1745;58414-280
1746;13650-000
1747;01238-000
1748;05410-000
1749;93224-540
1750;38500-000
1751;89204-060
1752;04076-010
1753;03127-010
1754;49020-010
1755;70772-100
1756;05434-020
1757;22471-210
1758;22620-310
1759;04120-090
1760;60440-594
1761;04076-010
1762;59064-160
1763;22775-033
1764;71909-360
1765;88025-000
1766;01420-003
1767;69060-103
1768;04564-000
1769;05477-000
1770;03171-040
1771;37701-018
1772;90150-005
1773;54400-000
1774;29900-050
1775;01407-100
1776;09581-660
1777;88790-000
1778;70865-010
1779;38400-066
1780;30190-131
1781;22420-043
1782;03121-010
1783;80240-031
1784;04026-002
1785;22790-703
1786;20541-120
1787;40140-000
1788;30492-040
1789;29101-300
1790;05642-001
1791;22210-030
1792;22050-011
1793;12244-479
1794;29055-570
1795;14022-047
1796;78850-000
1797;22620-172
1798;39800-015
1799;79032-410
1800;22630-010
1801;06764-290
1802;01414-000
1803;02522-100
1804;04109-130
1805;24340-140
1806;78558-433
1807;05466-020
1808;22750-054
1809;70742-090
1810;05092-040
1811;34006-200
1812;18017-230
1813;94190-300
1814;06540-255
1815;52011-160
1816;06030-180
1817;12216-070
1818;37701-021
1819;74180-081
1820;13146-000
1821;22245-100
1822;22610-050
1823;85801-120
1824;38400-150
1825;92330-410
1826;05579-000
1827;89160-085
1828;22021-040
1829;74885-622
1830;03333-000
1831;76500-000
1832;71910-180
1833;86700-195
1834;88015-640
1835;02801-000
1836;74810-070
1837;51011-010
1838;35160-306
1839;36015-282
1840;59012-320
1841;87200-147
1842;01444-030
1843;59012-320
1844;90480-200
1845;60165-121
1846;13211-520
1847;64091-380
1848;64000-810
1849;64048-130
1850;64048-320
1851;29102-090
1852;65075-650
1853;74885-838
1854;05432-030
1855;04618-033
1856;05092-040
1857;89010-003
1858;04608-010
1859;80240-220
1860;34006-068
1861;57036-000
1862;13100-116
1863;74215-130
1864;59065-555
1865;36021-040
1866;62960-000
1867;13025-020
1868;05705-170
1869;13930-000
1870;90570-040
1871;13278-140
1872;78043-500
